epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,510000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,0
2,1000000.0,1.0,520000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,1
3,1000000.0,1.0,530000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,2
4,987451.9230769231,0.9874519230769231,540380.7692307692,9999.0,363461.5384615385,272596.1538461539,78317.3076923077,0.0,12548.076923076924,0,12548.076923076924,9.094947017729282e-13,1.8189894035458566e-17,7615.384615384616,380.76923076923083,6853.846153846154,380.76923076923083,380.76923076923083,10000.0,1.0,0,0,0,3
5,964540.8653846155,0.9645408653846155,551206.7788461539,9999.0,454326.9230769231,272596.1538461539,146271.63461538462,0.0,35459.13461538462,0,22911.057692307695,1.8189894035458565e-12,3.637978807091713e-17,16520.192307692312,826.0096153846156,14868.173076923082,826.0096153846156,1206.7788461538464,10000.0,1.0,0,0,0,4
6,932974.8798076924,0.9329748798076923,562461.5216346155,9999.0,545192.3076923077,272596.1538461539,205571.03365384616,0.0,67025.1201923077,0,31565.985576923078,0.0,0.0,25094.855769230773,1254.7427884615388,22585.3701923077,1254.7427884615388,2461.521634615385,10000.0,1.0,0,0,0,5
7,894107.6983173077,0.8941076983173077,574105.9849759616,9999.0,636057.6923076925,272596.1538461539,257569.23677884616,0.0,105892.30168269231,0,38867.18149038462,0.0,0.0,32889.26682692308,1644.463341346154,29600.34014423077,1644.463341346154,4105.984975961539,10000.0,1.0,0,0,0,6
8,849026.2737379809,0.8490262737379809,586096.2381069713,9999.0,726923.0769230772,272596.1538461539,303353.1968149038,0.0,150973.72626201925,0,45081.42457932692,0.0,0.0,39805.06262019231,1990.2531310096151,35824.556358173075,1990.2531310096151,6096.238106971155,10000.0,1.0,0,0,0,7
9,799026.2737379808,0.7990262737379807,598376.3769021509,9999.0,817788.461538462,272596.1538461539,343806.3553034856,412.22612680288034,200973.72626201925,0,50000.0,412.2261268028742,0.008244522536057484,45602.775903595604,2280.1387951797806,41042.49831323605,2280.1387951797806,8376.376902150934,10000.0,1.0,0,0,0,8
10,749026.2737379808,0.7490262737379807,610766.2448081158,9999.0,908653.8461538467,272596.1538461539,379654.94070838345,5429.025337289657,250973.72626201925,0,50000.0,5429.025337289655,0.1085805067457931,47797.35811929621,2389.8679059648107,43017.62230736659,2389.8679059648107,10766.244808115744,10000.0,1.0,0,0,0,9
11,699026.2737379808,0.6990262737379808,623208.4707862455,9999.0,999519.2307692314,272596.1538461539,411502.25280051836,14447.097860539361,300973.72626201925,0,50000.00000000001,14447.097860539354,0.2889419572107871,48844.51956259446,2442.2259781297234,43960.067606335026,2442.2259781297234,13208.470786245467,10000.0,1.0,0,0,0,10
12,649026.2737379808,0.6490262737379807,635679.1616481129,9999.0,1090384.6153846162,272596.1538461539,439854.3394965426,26960.3957798997,350973.72626201925,0,50000.000000000015,26960.395779899685,0.5392079155979937,49413.81723734593,2470.690861867297,44472.43551361134,2470.690861867297,15679.161648112764,10000.0,1.0,0,0,0,11
13,599026.2737379808,0.5990262737379808,648166.2034681501,9999.0,1181250.000000001,272596.1538461539,465139.4370181762,42540.68287365073,400973.72626201925,0,50000.00000000001,42540.6828736507,0.8508136574730141,49740.836400742075,2487.041820037104,44766.75276066787,2487.041820037104,18166.203468149866,10000.0,1.0,0,0,0,12
14,549026.2737379809,0.5490262737379809,660662.809437154,9999.0,1272115.3846153857,272596.1538461539,487722.84349028603,60822.66101692554,450973.72626201925,0,50000.000000000015,60822.66101692552,1.2164532203385103,49932.11938007673,2496.6059690038364,44938.90744206906,2496.6059690038364,20662.8094371537,10000.0,1.0,0,0,0,13
15,1000000.0,1.0,172191.28587646346,0.3525103871384007,1362980.7692307704,272596.1538461539,507918.415790903,81492.47333169318,500973.72626201925,0,49999.99999999999,81492.47333169318,1.6298494666338637,50044.05402657046,2502.2027013285233,45039.64862391341,2502.2027013285233,23165.012138482227,10000.0,1.0,0,0,0,14
16,950000.0,0.95,184696.72352598302,9999.0,1453846.1538461552,272596.1538461539,525997.54618749,104278.72755049085,550973.7262620192,0,50000.0,104278.72755049085,2.085574551009817,50108.75299039135,2505.437649519568,45097.87769135222,2505.437649519568,25670.4497880018,10000.0,1.0,0,0,0,15
17,900000.0,0.9,197203.97721836483,9999.0,1544711.53846154,272596.1538461539,542196.2413204879,128945.41703287761,600973.7262620192,0,50000.00000000001,128945.41703287758,2.5789083406575517,50145.07384763619,2507.2536923818093,45130.566462872564,2507.2536923818093,28177.703480383607,10000.0,1.0,0,0,0,16
18,850000.0,0.85,209712.18942788412,9999.0,1635576.9230769246,272596.1538461539,556720.7600411656,155286.28292758446,650973.7262620192,0,50000.0,155286.28292758446,3.1057256585516892,50164.24419038513,2508.2122095192562,45147.819771346614,2508.2122095192562,30685.915689902864,10000.0,1.0,0,0,0,17
19,800000.0,0.8,222220.8395591777,9999.0,1726442.3076923094,272596.1538461539,569752.1475768669,183120.28000726775,700973.7262620192,0,50000.0,183120.28000726778,3.6624056001453558,50173.002625872105,2508.650131293605,45155.70236328489,2508.650131293605,33194.56582119647,10000.0,1.0,0,0,0,18
20,750000.0,0.75,234729.61056936908,9999.0,1817307.6923076941,272596.1538461539,581449.9173911305,212287.89480838884,750973.7262620192,0,50000.0,212287.89480838884,4.245757896167777,50175.42020382744,2508.7710101913717,45157.87818344469,2508.7710101913717,35703.336831387845,10000.0,1.0,0,0,0,19
21,699999.9999999999,0.6999999999999998,247238.30923531883,9999.0,1908173.0769230789,272596.1538461539,591955.0693081552,242648.1275067487,800973.7262620192,0,50000.0,242648.12750674866,4.852962550134973,50173.97331899505,2508.6986659497525,45156.57598709554,2508.6986659497525,38212.035497337594,10000.0,1.0,0,0,0,20
