parameter_name,expanded_key,audience_reserve_final_range,treasury_runway_epochs_range,final_amm_price_range,data_asset_value_final_range
utility_spend_rate_by_cohort,passive_viewers,23.352106077596545,0.0,0.0009295930254059198,13335.434094665572
utility_spend_rate_by_cohort,active_viewers,4.551959099248052,0.0,8.382439466833591e-05,1202.0625123230275
utility_spend_rate_by_cohort,power_users,2435.215832369402,0.0,1.6032767556184435e-05,417.513695738744
utility_spend_rate_by_cohort,adversarial_whales,29.74973565340042,0.0,0.00024272477083243926,3479.0656931216363
utility_fee_share,,76.06392019800842,0.0,0.0008546356342068878,12257.520888119936
utility_burn_share,,11.111599760130048,0.0,0.00017164442201596242,2462.923421873944
brand_inflow_per_epoch,,0.0,0.0,0.0,0.0
treasury_topup_threshold_ratio,,8582477.127726663,0.0,0.04743954121415114,548974.4262818829
treasury_topup_target_ratio,,504792.45303577185,9996.763015549619,0.006124508425093322,44826.35223019146
treasury_topup_cap_ratio_per_epoch,,443521.4676090628,9995.362001020992,0.0007987510069750736,35958.383599597495
throttle_threshold_ratio,,0.0,0.0,0.0,0.0
throttle_multiplier_when_stressed,,0.0,0.0,0.0,0.0
vesting_extension_factor,,0.0,0.0,0.0,0.0
amm_initial_z1u,,3175872.0060587246,0.0,0.14160982313029014,1629519.4522678507
amm_initial_usd,,0.0,0.0,0.10018043013168818,1437156.9563106764
amm_fee_rate,,79.37103972025216,0.0,0.0009090717136639309,13041.388052102411
campaign_fee_percentage,,1753985.5011669844,9997.57135693564,0.022464979684885825,424258.9085729716
campaign_burn_share,,500076.4192343112,9996.570286985521,0.0011577161179063267,66852.09127053595
campaign_deposit_per_epoch,,8503281.47653521,0.0,0.009811132624454544,683135.7237306111
treasury_buyback_ratio,,11389.689203739166,0.0,0.0009853475010860313,14140.941895495867
cip_budget_per_epoch,,499947.4621533379,9996.507924420155,0.01170637007605102,218089.03512868565
vrp_budget_per_epoch,,500051.59883421846,0.0,0.004645753455555637,117110.25071614399
cip_replenishment_per_epoch,,0.0,0.0,0.0,0.0
operational_cost_per_epoch,,54.089528949931264,0.0,0.0014514802721793396,21546.020122320624
rwa_yield_per_epoch,,500015.8575496655,9996.554577503688,0.0008461835673590767,51416.378045598045
governance_max_budget_shift_rate,,0.0,0.0,0.0,0.0
staking_lock_epochs,,0.0,0.0,0.0,0.0
staking_rate_by_cohort,passive_viewers,0.0,0.0,0.0,0.0
staking_rate_by_cohort,active_viewers,0.0,0.0,0.0,0.0
staking_rate_by_cohort,power_users,0.0,0.0,0.0,0.0
staking_rate_by_cohort,adversarial_whales,0.0,0.0,0.0,0.0
governance_staking_tier_shares,3_epoch,0.0,0.0,0.0,0.0
governance_staking_tier_shares,6_epoch,0.0,0.0,0.0,0.0
governance_staking_tier_shares,12_epoch,0.0,0.0,0.0,0.0
governance_acr_requirement,,0.0,0.0,0.0,0.0
panic_price_drop_threshold,,0.0,0.0,0.0,0.0
panic_settlement_multiplier,,0.0,0.0,0.0,0.0
provider_recirculation_rate,,61.22561399079859,0.0,0.0010213610845686977,14646.07480261987
composite_sr_amm_weight,,435685.96324351616,0.0,0.0021642935544098074,37303.4060392878
composite_sr_ar_weight,,76180.21640598588,0.0,0.000941746416719208,16559.355850718915
audience_reserve_initial,,1326522.2142423298,0.0,0.01158236832579751,285969.6088904494
treasury_initial,,500103.8145900499,9996.534987665602,0.0036079686122865162,102173.51902756374
scale_factor,,0.0,0.0,0.0,0.0
