param_name,expanded_key,param_value,audience_reserve_final,treasury_runway_epochs,final_amm_price,data_asset_value_final
n_epochs,,130.0,11161496.46645183,9999.0,0.10266089831967662,1145849.253837841
n_epochs,,158.0,11590537.42301161,9999.0,0.10496535695856384,1216604.8979480062
n_epochs,,187.0,12520203.716810217,9999.0,0.10374748978232855,1298939.70718244
n_epochs,,216.0,13452325.961244877,9999.0,0.10027249569535035,1348898.2970413768
n_epochs,,245.0,14382044.200194433,3.0133217558197343,0.1005530496103553,1446158.4039604736
n_epochs,,274.0,14812111.53135037,9999.0,0.09771341358398913,1447341.9801150134
n_epochs,,303.0,15745753.250896187,9999.0,0.08930849847167716,1406229.5801430678
n_epochs,,332.0,16202625.861553276,9999.0,0.08161074587067564,1322308.3816248614
n_epochs,,361.0,16353253.187943723,9999.0,0.07506517439429557,1227559.8024670654
n_epochs,,390.0,16534383.05783997,9999.0,0.06969153838390675,1152306.5915296718
random_seed,,21.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,25.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,30.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,35.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,39.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,44.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,49.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,53.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,58.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
random_seed,,63.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
repetitions,,0.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
repetitions,,1.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
initial_viewers,,500000.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
initial_viewers,,611111.0,14345685.623819966,9999.0,0.10018043271006484,1437156.9933168406
initial_viewers,,722222.0,14345685.624068325,9999.0,0.10018043008716594,1437156.9557144383
initial_viewers,,833333.0,14345685.624140492,9999.0,0.10018043198391281,1437156.9829318023
initial_viewers,,944444.0,14345685.62406607,9999.0,0.10018043047298454,1437156.9612490449
initial_viewers,,1055555.0,14345685.62412328,9999.0,0.1001804319298051,1437156.9821538657
initial_viewers,,1166666.0,14345685.624248186,9999.0,0.1001804303804141,1437156.9599393029
initial_viewers,,1277777.0,14345685.624112103,9999.0,0.10018043189451528,1437156.9816464896
initial_viewers,,1388888.0,14345685.624217862,9999.0,0.10018043059585181,1437156.9630268665
initial_viewers,,1500000.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
adoption_profile,,,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,2500.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,3055.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,3611.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,4166.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,4722.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,5277.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,5833.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,6388.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,6944.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_population,,7500.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,50.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,61.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,72.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,83.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,94.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,105.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,116.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,127.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,138.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
validator_population,,150.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
creator_sell_propensity,,0.25,14345560.450652434,9999.0,0.10045423930267547,1441072.3624408366
creator_sell_propensity,,0.3055555555555556,14345601.45094784,9999.0,0.10014646568822007,1436661.283484228
creator_sell_propensity,,0.3611111111111111,14345573.29057849,9999.0,0.1000191133097426,1434831.520443587
creator_sell_propensity,,0.41666666666666663,14345585.966409635,9999.0,0.10093582792129979,1447983.596535736
creator_sell_propensity,,0.4722222222222222,14345675.746422132,9999.0,0.10021565013657358,1437661.2215761694
creator_sell_propensity,,0.5277777777777778,14345695.13193788,9999.0,0.10016062145758789,1436873.7396559913
creator_sell_propensity,,0.5833333333333333,14345708.093784513,9999.0,0.10007522537920341,1435649.9707097476
creator_sell_propensity,,0.6388888888888888,14345648.835840967,9999.0,0.10089108391503457,1447348.060512449
creator_sell_propensity,,0.6944444444444444,14345657.519859323,9999.0,0.10085499350616599,1446831.1960070934
creator_sell_propensity,,0.75,14345655.98167058,9999.0,0.10082147641325301,1446350.2161886424
