parameter_name,expanded_key,S1,S1_conf,ST,ST_conf,interaction_strength
claim_rate_by_cohort,passive_viewers,1.944304126444665e-06,2.340038163995126e-06,7.709233054546209e-11,2.722416990618029e-11,-1.9442270341141195e-06
claim_rate_by_cohort,active_viewers,8.082379368059502e-05,0.00015878368442407635,2.850822829555659e-07,4.121499731955168e-07,-8.053871139763945e-05
claim_rate_by_cohort,power_users,-0.003968550885026037,0.0057449705671806205,0.0009297614571969541,0.0012661654220819773,0.004898312342222991
claim_rate_by_cohort,adversarial_whales,-4.050257845420504e-06,2.0864912995778923e-05,7.396967656693991e-09,3.042878744229886e-09,4.057654813077198e-06
settle_propensity_by_cohort,passive_viewers,0.0,0.0,0.0,0.0,0.0
settle_propensity_by_cohort,active_viewers,0.0,0.0,0.0,0.0,0.0
settle_propensity_by_cohort,power_users,0.0,0.0,0.0,0.0,0.0
settle_propensity_by_cohort,adversarial_whales,0.0,0.0,0.0,0.0,0.0
settlement_ratio,,0.042544823186823504,0.06378155053501652,0.0921460504466315,0.031190921581848757,0.049601227259808
utility_spend_rate_by_cohort,passive_viewers,0.0005627039349103451,0.017505123962427184,0.007526498939567757,0.005505906552898544,0.0069637950046574125
utility_spend_rate_by_cohort,active_viewers,-0.002879397538549269,0.011561821916814003,0.0018990792502592453,0.0013872359876105644,0.004778476788808514
utility_spend_rate_by_cohort,power_users,-0.006983581479858786,0.010164652522113767,0.0019103551899308593,0.0017261523995532706,0.008893936669789645
utility_spend_rate_by_cohort,adversarial_whales,-0.002556187636830402,0.003860987670869869,0.00021657732372445582,0.00029215980171882117,0.002772764960554858
brand_inflow_per_epoch,,0.8913405724996095,0.22876607770773208,0.9654768343467374,0.18071727341175742,0.07413626184712785
