settlement_ratio,brand_inflow_per_epoch,final_ar_ratio,final_price,is_failed,failure_reason
0.01,0.0,1.4873629973435196,0.10151287381475214,0,None
0.01,22222.222222222223,1.5874585941595456,0.10069111897735358,0,None
0.01,44444.444444444445,1.8874924705775709,0.10303469528829509,0,None
0.01,66666.66666666667,2.2874929465715432,0.10143806952251806,0,None
0.01,88888.88888888889,2.587500026002144,0.10207716643551176,0,None
0.01,111111.11111111111,2.8874987174038367,0.10112438192961148,0,None
0.01,133333.33333333334,3.2874978376684925,0.10024988634895551,0,None
0.01,155555.55555555556,3.587504759229582,0.09774229487183336,0,None
0.01,177777.77777777778,3.987535869492956,0.09341271264530568,0,None
0.01,200000.0,4.272662177448654,0.09047593605923542,0,None
0.12,0.0,1.3490506120040615,0.10154847900540241,0,None
0.12,22222.222222222223,1.5497556665290295,0.10104251184216148,0,None
0.12,44444.444444444445,1.8499452419711222,0.1024601619371693,0,None
0.12,66666.66666666667,2.2499371947121523,0.1011191664315992,0,None
0.12,88888.88888888889,2.549989236592083,0.10114094445069592,0,None
0.12,111111.11111111111,2.8499914879985155,0.10096125813812762,0,None
0.12,133333.33333333334,3.2500697985233447,0.09853850475696464,0,None
0.12,155555.55555555556,3.5503913480550238,0.09316895833490277,0,None
0.12,177777.77777777778,3.9194710810207294,0.08894002714860841,0,None
0.12,200000.0,4.1995561538743775,0.08552221865079401,1,Treasury_depletion
0.23,0.0,1.3097786029547756,0.10113332379612797,0,None
0.23,22222.222222222223,1.5121163779117606,0.10282597209368206,0,None
0.23,44444.444444444445,1.8123258761579044,0.10140108290098625,0,None
0.23,66666.66666666667,2.212527297452672,0.10060266873075394,0,None
0.23,88888.88888888889,2.5124962336082475,0.1005666234168481,0,None
0.23,111111.11111111111,2.912784674987447,0.09673974550925225,0,None
0.23,133333.33333333334,3.213296195465324,0.09258405024223974,0,None
0.23,155555.55555555556,3.566955014850056,0.08812746752990663,0,None
0.23,177777.77777777778,3.83437317177101,0.08371625679038164,0,None
0.23,200000.0,4.09656238610585,0.08095624354714127,0,None
0.34,0.0,1.1729917400209828,0.10035360853069919,0,None
0.34,22222.222222222223,1.4746027580820285,0.1021186326927501,0,None
0.34,44444.444444444445,1.7748456788748783,0.10041105228552083,0,None
0.34,66666.66666666667,2.175072073231976,0.0998466650978157,0,None
0.34,88888.88888888889,2.4755036735240505,0.09483063900591354,0,None
0.34,111111.11111111111,2.87662251945253,0.09130737032069819,0,None
0.34,133333.33333333334,3.178604174702682,0.08646688461510932,0,None
0.34,155555.55555555556,3.469137033204317,0.08259947125742413,0,None
0.34,177777.77777777778,3.7327558826114444,0.07935764171832727,0,None
0.34,200000.0,3.9965198204253993,0.0769213563730019,0,None
0.45,0.0,1.1368144619514875,0.10074846866918924,0,None
0.45,22222.222222222223,1.4371032790520863,0.10005633624706578,0,None
0.45,44444.444444444445,1.7373904549299954,0.10080609408737709,0,None
0.45,66666.66666666667,2.137520389352371,0.0970789191180478,0,None
0.45,88888.88888888889,2.439934482934772,0.08982273936166088,0,None
0.45,111111.11111111111,2.8289217208878243,0.08557060011887442,0,None
0.45,133333.33333333334,3.1036824111751375,0.08141325817103676,0,None
0.45,155555.55555555556,3.3701742817586027,0.07719340301080493,0,None
0.45,177777.77777777778,3.634463148113586,0.07497269755715251,0,None
0.45,200000.0,3.907305470589792,0.07265611429628376,0,None
0.56,0.0,1.099747514971624,0.09534294416033187,0,None
0.56,22222.222222222223,1.3993145608488018,0.10016200450790529,0,None
0.56,44444.444444444445,1.699823953433415,0.09960993437425437,0,None
0.56,66666.66666666667,2.1034195658778434,0.08853873473706188,0,None
0.56,88888.88888888889,2.4711862982975212,0.08455771639896514,0,None
0.56,111111.11111111111,2.7384754124646964,0.08018935524077377,0,None
