iteration_time,epoch_mean,epoch_std,epoch_min,epoch_max,audience_reserve_mean,audience_reserve_std,audience_reserve_min,audience_reserve_max,reserve_ratio_mean,reserve_ratio_std,reserve_ratio_min,reserve_ratio_max,treasury_mean,treasury_std,treasury_min,treasury_max,treasury_runway_estimate_mean,treasury_runway_estimate_std,treasury_runway_estimate_min,treasury_runway_estimate_max,total_claims_issued_mean,total_claims_issued_std,total_claims_issued_min,total_claims_issued_max,total_claims_vesting_mean,total_claims_vesting_std,total_claims_vesting_min,total_claims_vesting_max,total_claims_available_mean,total_claims_available_std,total_claims_available_min,total_claims_available_max,total_claims_queued_mean,total_claims_queued_std,total_claims_queued_min,total_claims_queued_max,total_claims_settled_mean,total_claims_settled_std,total_claims_settled_min,total_claims_settled_max,settlement_requested_epoch_mean,settlement_requested_epoch_std,settlement_requested_epoch_min,settlement_requested_epoch_max,settlement_executed_epoch_mean,settlement_executed_epoch_std,settlement_executed_epoch_min,settlement_executed_epoch_max,settlement_queue_mean,settlement_queue_std,settlement_queue_min,settlement_queue_max,settlement_pressure_ratio_mean,settlement_pressure_ratio_std,settlement_pressure_ratio_min,settlement_pressure_ratio_max,utility_spend_epoch_mean,utility_spend_epoch_std,utility_spend_epoch_min,utility_spend_epoch_max,treasury_fees_epoch_mean,treasury_fees_epoch_std,treasury_fees_epoch_min,treasury_fees_epoch_max,provider_payments_epoch_mean,provider_payments_epoch_std,provider_payments_epoch_min,provider_payments_epoch_max,tokens_burned_epoch_mean,tokens_burned_epoch_std,tokens_burned_epoch_min,tokens_burned_epoch_max,cumulative_tokens_burned_mean,cumulative_tokens_burned_std,cumulative_tokens_burned_min,cumulative_tokens_burned_max,ecosystem_inflow_epoch_mean,ecosystem_inflow_epoch_std,ecosystem_inflow_epoch_min,ecosystem_inflow_epoch_max,throttle_multiplier_mean,throttle_multiplier_std,throttle_multiplier_min,throttle_multiplier_max,throttle_active_mean,throttle_active_std,throttle_active_min,throttle_active_max,reserve_floor_breach_mean,reserve_floor_breach_std,reserve_floor_breach_min,reserve_floor_breach_max,run_id,scenario_id,config_hash,seed
10,10.0,,10,10,4999618.224292648,,4999618.224292648,4999618.224292648,0.9999236448585296,,0.9999236448585296,0.9999236448585296,3000088.7716221684,,3000088.7716221684,3000088.7716221684,9999.0,,9999.0,9999.0,8581.73076923077,,8581.73076923077,8581.73076923077,2574.519230769231,,2574.519230769231,2574.519230769231,4734.625847291917,,4734.625847291917,4734.625847291917,0.0,,0.0,0.0,1272.5856911696214,,1272.5856911696214,1272.5856911696214,0.0,,0,0,89.29521021296576,,89.29521021296576,89.29521021296576,7.105427357601002e-15,,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202005e-19,,1.4210854715202005e-19,1.4210854715202005e-19,85.98802757958984,,85.98802757958984,85.98802757958984,21.49700689489746,,21.49700689489746,21.49700689489746,60.19161930571289,,60.19161930571289,60.19161930571289,4.299401378979493,,4.299401378979493,4.299401378979493,17.754324433779676,,17.754324433779676,17.754324433779676,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
11,11.0,,11,11,4999519.296019758,,4999519.296019758,4999519.296019758,0.9999038592039516,,0.9999038592039516,0.9999038592039516,3050112.7478305595,,3050112.7478305595,3050112.7478305595,9999.0,,9999.0,9999.0,9439.903846153848,,9439.903846153848,9439.903846153848,2574.519230769231,,2574.519230769231,2574.519230769231,5263.03801457914,,5263.03801457914,5263.03801457914,0.0,,0.0,0.0,1602.3466008054763,,1602.3466008054763,1602.3466008054763,0.0,,0,0,98.92827289075646,,98.92827289075646,98.92827289075646,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,95.90483356602877,,95.90483356602877,95.90483356602877,23.976208391507193,,23.976208391507193,23.976208391507193,67.13338349622015,,67.13338349622015,67.13338349622015,4.795241678301439,,4.795241678301439,4.795241678301439,22.549566112081116,,22.549566112081116,22.549566112081116,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
12,12.0,,12,12,4999411.345795589,,4999411.345795589,4999411.345795589,0.9998822691591177,,0.9998822691591177,0.9998822691591177,3100139.0462698834,,3100139.0462698834,3100139.0462698834,9999.0,,9999.0,9999.0,10298.076923076926,,10298.076923076926,10298.076923076926,2574.519230769231,,2574.519230769231,2574.519230769231,5761.377010938242,,5761.377010938242,5761.377010938242,0.0,,0.0,0.0,1962.1806813694507,,1962.1806813694507,1962.1806813694507,0.0,,0,0,107.95022416919228,,107.95022416919228,107.95022416919228,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,105.1937572972032,,105.1937572972032,105.1937572972032,26.2984393243008,,26.2984393243008,26.2984393243008,73.63563010804224,,73.63563010804224,73.63563010804224,5.25968786486016,,5.25968786486016,5.25968786486016,27.809253976941275,,27.809253976941275,27.809253976941275,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
13,13.0,,13,13,4999294.940189809,,4999294.940189809,4999294.940189809,0.9998589880379617,,0.9998589880379617,0.9998589880379617,3150167.5203802413,,3150167.5203802413,3150167.5203802413,9999.0,,9999.0,9999.0,11156.250000000004,,11156.250000000004,11156.250000000004,2574.519230769231,,2574.519230769231,2574.519230769231,6231.531401931024,,6231.531401931024,6231.531401931024,0.0,,0.0,0.0,2350.199367299745,,2350.199367299745,2350.199367299745,0.0,,0,0,116.40560577908838,,116.40560577908838,116.40560577908838,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,113.89644143005616,,113.89644143005616,113.89644143005616,28.474110357514043,,28.474110357514043,28.474110357514043,79.72750900103932,,79.72750900103932,79.72750900103932,5.694822071502808,,5.694822071502808,5.694822071502808,33.504076048444084,,33.504076048444084,33.504076048444084,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
14,14.0,,14,14,4999170.60501211,,4999170.60501211,4999170.60501211,0.9998341210024221,,0.9998341210024221,0.9998341210024221,3200198.0335973487,,3200198.0335973487,3200198.0335973487,9999.0,,9999.0,9999.0,12014.423076923082,,12014.423076923082,12014.423076923082,2574.519230769231,,2574.519230769231,2574.519230769231,6675.253886525804,,6675.253886525804,6675.253886525804,0.0,,0.0,0.0,2764.649959628043,,2764.649959628043,2764.649959628043,0.0,,0,0,124.33517769848933,,124.33517769848933,124.33517769848933,0.0,,0.0,0.0,0.0,,0.0,0.0,122.05286843001358,,122.05286843001358,122.05286843001358,30.513217107503394,,30.513217107503394,30.513217107503394,85.43700790100951,,85.43700790100951,85.43700790100951,6.102643421500679,,6.102643421500679,6.102643421500679,39.606719469944764,,39.606719469944764,39.606719469944764,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
15,15.0,,15,15,4999038.828725996,,4999038.828725996,4999038.828725996,0.9998077657451993,,0.9998077657451993,0.9998077657451993,3250230.458785012,,3250230.458785012,3250230.458785012,9999.0,,9999.0,9999.0,12872.59615384616,,12872.59615384616,12872.59615384616,2574.519230769231,,2574.519230769231,2574.519230769231,7094.172676400707,,7094.172676400707,7094.172676400707,0.0,,0.0,0.0,3203.904246676217,,3203.904246676217,3203.904246676217,0.0,,0,0,131.77628611445232,,131.77628611445232,131.77628611445232,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,129.7007506524111,,129.7007506524111,129.7007506524111,32.425187663102776,,32.425187663102776,32.425187663102776,90.79052545668776,,90.79052545668776,90.79052545668776,6.485037532620556,,6.485037532620556,6.485037532620556,46.091757002565316,,46.091757002565316,46.091757002565316,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
16,16.0,,16,16,4998900.065534408,,4998900.065534408,4998900.065534408,0.9997800131068817,,0.9997800131068817,0.9997800131068817,3300264.6776169008,,3300264.6776169008,3300264.6776169008,9999.0,,9999.0,9999.0,13730.769230769238,,13730.769230769238,13730.769230769238,2574.519230769231,,2574.519230769231,2574.519230769231,7489.801781363122,,7489.801781363122,7489.801781363122,0.0,,0.0,0.0,3666.448218636879,,3666.448218636879,3666.448218636879,0.0,,0,0,138.7631915881986,,138.7631915881986,138.7631915881986,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,136.87532755540258,,136.87532755540258,136.87532755540258,34.218831888850644,,34.218831888850644,34.218831888850644,95.8127292887818,,95.8127292887818,95.8127292887818,6.8437663777701285,,6.8437663777701285,6.8437663777701285,52.93552338033545,,52.93552338033545,52.93552338033545,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
17,17.0,,17,17,4998754.738172329,,4998754.738172329,4998754.738172329,0.9997509476344658,,0.9997509476344658,0.9997509476344658,3350300.5799557064,,3350300.5799557064,3350300.5799557064,9999.0,,9999.0,9999.0,14588.942307692316,,14588.942307692316,14588.942307692316,2574.519230769231,,2574.519230769231,2574.519230769231,7863.550318019573,,7863.550318019573,7863.550318019573,0.0,,0.0,0.0,4150.872758903506,,4150.872758903506,4150.872758903506,0.0,,0,0,145.327362079988,,145.327362079988,145.327362079988,0.0,,0.0,0.0,0.0,,0.0,0.0,143.60935522299155,,143.60935522299155,143.60935522299155,35.90233880574788,,35.90233880574788,35.90233880574788,100.52654865609406,,100.52654865609406,100.52654865609406,7.180467761149576,,7.180467761149576,7.180467761149576,60.11599114148502,,60.11599114148502,60.11599114148502,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
18,18.0,,18,18,4998603.240437417,,4998603.240437417,4998603.240437417,0.9997206480874835,,0.9997206480874835,0.9997206480874835,3400338.063252949,,3400338.063252949,3400338.063252949,9999.0,,9999.0,9999.0,15447.115384615394,,15447.115384615394,15447.115384615394,2574.519230769231,,2574.519230769231,2574.519230769231,8216.73094523731,,8216.73094523731,8216.73094523731,0.0,,0.0,0.0,4655.865208608844,,4655.865208608844,4655.865208608844,0.0,,0,0,151.49773491160144,,151.49773491160144,151.49773491160144,0.0,,0.0,0.0,0.0,,0.0,0.0,149.93318897069545,,149.93318897069545,149.93318897069545,37.48329724267386,,37.48329724267386,37.48329724267386,104.95323227948683,,104.95323227948683,104.95323227948683,7.496659448534773,,7.496659448534773,7.496659448534773,67.61265059001978,,67.61265059001978,67.61265059001978,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
19,19.0,,19,19,4998445.939486177,,4998445.939486177,4998445.939486177,0.9996891878972354,,0.9996891878972354,0.9996891878972354,3450377.0319805853,,3450377.0319805853,3450377.0319805853,9999.0,,9999.0,9999.0,16305.288461538472,,16305.288461538472,16305.288461538472,2574.519230769231,,2574.519230769231,2574.519230769231,8550.567518023108,,8550.567518023108,8550.567518023108,0.0,,0.0,0.0,5180.201712746124,,5180.201712746124,5180.201712746124,0.0,,0,0,157.300951241184,,157.300951241184,157.300951241184,-1.4210854715202004e-14,,-1.4210854715202004e-14,-1.4210854715202004e-14,-2.842170943040401e-19,,-2.842170943040401e-19,-2.842170943040401e-19,155.87491054538532,,155.87491054538532,155.87491054538532,38.96872763634633,,38.96872763634633,38.96872763634633,109.11243738176971,,109.11243738176971,109.11243738176971,7.793745527269266,,7.793745527269266,7.793745527269266,75.40639611728905,,75.40639611728905,75.40639611728905,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
