epoch,audience_reserve,reserve_ratio,treasury,treasury_runway_estimate,total_claims_issued,total_claims_vesting,total_claims_available,total_claims_queued,total_claims_settled,settlement_requested_epoch,settlement_executed_epoch,settlement_queue,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,tokens_burned_epoch,cumulative_tokens_burned,ecosystem_inflow_epoch,throttle_multiplier,throttle_active,reserve_floor_breach,repetition_run,iteration_time,run_id,scenario_id,config_hash,seed
12,4999411.345795589,0.9998822691591177,3100139.0462698834,9999.0,10298.076923076926,2574.519230769231,5761.377010938242,0.0,1962.1806813694507,0,107.95022416919228,1.4210854715202004e-14,2.842170943040401e-19,105.1937572972032,26.2984393243008,73.63563010804224,5.25968786486016,27.809253976941275,50000.0,1.0,0,0,0,12,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
13,4999294.940189809,0.9998589880379617,3150167.5203802413,9999.0,11156.250000000004,2574.519230769231,6231.531401931024,0.0,2350.199367299745,0,116.40560577908838,1.4210854715202004e-14,2.842170943040401e-19,113.89644143005616,28.474110357514043,79.72750900103932,5.694822071502808,33.504076048444084,50000.0,1.0,0,0,0,13,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
14,4999170.60501211,0.9998341210024221,3200198.0335973487,9999.0,12014.423076923082,2574.519230769231,6675.253886525804,0.0,2764.649959628043,0,124.33517769848933,0.0,0.0,122.05286843001358,30.513217107503394,85.43700790100951,6.102643421500679,39.606719469944764,50000.0,1.0,0,0,0,14,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
15,4999038.828725996,0.9998077657451993,3250230.458785012,9999.0,12872.59615384616,2574.519230769231,7094.172676400707,0.0,3203.904246676217,0,131.77628611445232,1.4210854715202004e-14,2.842170943040401e-19,129.7007506524111,32.425187663102776,90.79052545668776,6.485037532620556,46.091757002565316,50000.0,1.0,0,0,0,15,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
16,4998900.065534408,0.9997800131068817,3300264.6776169008,9999.0,13730.769230769238,2574.519230769231,7489.801781363122,0.0,3666.448218636879,0,138.7631915881986,1.4210854715202004e-14,2.842170943040401e-19,136.87532755540258,34.218831888850644,95.8127292887818,6.8437663777701285,52.93552338033545,50000.0,1.0,0,0,0,16,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
17,4998754.738172329,0.9997509476344658,3350300.5799557064,9999.0,14588.942307692316,2574.519230769231,7863.550318019573,0.0,4150.872758903506,0,145.327362079988,0.0,0.0,143.60935522299155,35.90233880574788,100.52654865609406,7.180467761149576,60.11599114148502,50000.0,1.0,0,0,0,17,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
18,4998603.240437417,0.9997206480874835,3400338.063252949,9999.0,15447.115384615394,2574.519230769231,8216.73094523731,0.0,4655.865208608844,0,151.49773491160144,0.0,0.0,149.93318897069545,37.48329724267386,104.95323227948683,7.496659448534773,67.61265059001978,50000.0,1.0,0,0,0,18,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
19,4998445.939486177,0.9996891878972354,3450377.0319805853,9999.0,16305.288461538472,2574.519230769231,8550.567518023108,0.0,5180.201712746124,0,157.300951241184,-1.4210854715202004e-14,-2.842170943040401e-19,155.87491054538532,38.96872763634633,109.11243738176971,7.793745527269266,75.40639611728905,50000.0,1.0,0,0,0,19,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
20,4998283.177919989,0.9996566355839979,3500417.3970992905,9999.0,17163.461538461546,2574.519230769231,8866.202040988774,0.0,5722.740266703535,0,162.76156618722334,0.0,0.0,161.4604748219142,40.36511870547856,113.02233237533994,8.073023741095712,83.47941985838476,50000.0,1.0,0,0,0,20,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
21,4998115.275682633,0.9996230551365266,3550459.0755648823,9999.0,18021.634615384624,2574.519230769231,9164.70099338904,0.0,6282.414391226345,0,167.90223735684287,-1.4210854715202004e-14,-2.842170943040401e-19,166.71386236680394,41.678465591700984,116.69970365676276,8.335693118340199,91.81511297672496,50000.0,1.0,0,0,0,21,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
22,4997942.531788432,0.9995885063576864,3600501.989872446,9999.0,18879.807692307702,2574.519230769231,9447.061089642688,0.0,6858.227371895776,0,172.74389420082926,-2.842170943040401e-14,-5.684341886080802e-19,171.65723025508433,42.91430756377108,120.16006117855903,8.582861512754217,100.39797448947918,50000.0,1.0,0,0,0,22,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
23,4997765.225898106,0.9995530451796212,3650546.0676366687,9999.0,19737.98076923078,2574.519230769231,9714.214532141179,0.0,7449.247006320359,0,177.30589032737515,-2.842170943040401e-14,-5.684341886080802e-19,176.31105689001987,44.07776422250497,123.4177398230139,8.815552844500994,109.21352733398017,50000.0,1.0,0,0,0,23,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
24,4997583.619757453,0.9995167239514906,3700591.241206307,9999.0,20596.15384615386,2574.519230769231,9967.03380688828,0.0,8054.600808496337,0,181.60614065279316,0.0,0.0,180.694278553703,45.173569638425754,126.48599498759211,9.03471392768515,118.24824126166533,50000.0,1.0,0,0,0,24,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
25,4997397.958512407,0.9994795917024814,3750637.4473104617,9999.0,21454.326923076937,2574.519230769231,10206.336066992691,0.0,8673.471625314998,0,185.66124504559872,0.0,0.0,184.82441661817677,46.20610415454419,129.37709163272376,9.24122083090884,127.48946209257416,50000.0,1.0,0,0,0,25,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
26,4997208.471912481,0.9994416943824962,3800684.6267342335,9999.0,22312.500000000015,2574.519230769231,10432.887144161805,0.0,9305.093625068961,0,189.4865999261887,0.0,0.0,188.71769508625994,47.179423771564984,132.10238656038194,9.435884754312998,136.92534684688715,50000.0,1.0,0,0,0,26,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
27,4997015.3754133675,0.9994030750826735,3850732.72402138,9999.0,23170.673076923093,2574.519230769231,10647.405224037402,0.0,9948.74862211644,0,193.09649911424373,0.0,0.0,192.38914858338973,48.09728714584743,134.67240400837284,9.619457429169486,146.54480427605665,50000.0,1.0,0,0,0,27,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
28,4996818.871188301,0.9993637742376601,3900781.687201678,9999.0,24028.84615384617,2574.519230769231,10850.564217404375,0.0,10603.762705672547,0,196.5042250668316,0.0,0.0,195.8527211903479,48.96318029758697,137.0969048332435,9.792636059517395,156.33744033557406,50000.0,1.0,0,0,0,28,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
29,4996619.149056781,0.9993238298113563,3950831.4675408415,9999.0,24887.01923076925,2574.519230769231,11042.99685592984,0.0,11269.50314407016,0,199.72213151928398,0.0,0.0,199.1213566565119,49.780339164127966,139.3849496595583,9.956067832825592,166.29350816839965,50000.0,1.0,0,0,0,29,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
30,4996416.387338355,0.999283277467671,4000882.019310993,9999.0,25745.192307692327,2574.519230769231,11225.297538099858,0.0,11945.375538823217,0,202.7617184259173,2.842170943040401e-14,5.684341886080802e-19,202.20708060614663,50.551770151536644,141.54495642430263,10.11035403030733,176.40386219870697,50000.0,1.0,0,0,0,30,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
31,4996210.75363836,0.999242150727672,4050933.299579837,9999.0,26603.365384615405,2574.519230769231,11398.02494836779,0.0,12630.82120547836,0,205.63369999654248,0.0,0.0,205.1210753738377,51.280268843459424,143.5847527616864,10.256053768691885,186.65991596739886,50000.0,1.0,0,0,0,31,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
32,4996002.405571825,0.999200481114365,4100985.2680168613,9999.0,27461.538461538483,2574.519230769231,11561.704470171875,0.0,13325.314760597352,0,208.3480665356977,0.0,0.0,207.87374809785584,51.96843702446395,145.51162366849908,10.393687404892793,197.05360337229166,50000.0,1.0,0,0,0,32,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
33,4995791.4914311115,0.9991582982862223,4151037.88671503,9999.0,28319.71153846156,2574.519230769231,11716.830411384552,0.0,14028.361896307752,0,210.91414071312008,0.0,0.0,210.47479267429162,52.618698168572905,147.33235487200415,10.52373963371458,207.57734300600626,50000.0,1.0,0,0,0,33,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
34,4995578.150802287,0.9991156301604575,4201091.120026565,9999.0,29177.88461538464,2574.519230769231,11863.868058891587,0.0,14739.497325723794,0,213.340628824813,0.0,0.0,212.93324613836202,53.233311534590506,149.05327229685344,10.646662306918103,218.22400531292436,50000.0,1.0,0,0,0,34,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
35,4995362.515134743,0.9990725030269487,4251144.934411565,9999.0,30036.057692307717,2574.519230769231,12003.255577337923,0.0,15458.282884200533,0,215.63566754302204,0.0,0.0,215.25753999771268,53.81438499942817,150.68027799839888,10.762876999885634,228.98688231281,50000.0,1.0,0,0,0,35,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
36,4995144.708268143,0.9990289416536287,4301199.298298315,9999.0,30894.230769230795,2574.519230769231,12135.40576559602,0.0,16184.305772865511,0,217.80686659949367,0.0,0.0,217.45554699928758,54.363886749821894,152.2188828995013,10.872777349964379,239.85965966277436,50000.0,1.0,0,0,0,36,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
