iteration_time,epoch_mean,epoch_std,epoch_min,epoch_max,audience_reserve_mean,audience_reserve_std,audience_reserve_min,audience_reserve_max,reserve_ratio_mean,reserve_ratio_std,reserve_ratio_min,reserve_ratio_max,treasury_mean,treasury_std,treasury_min,treasury_max,treasury_runway_estimate_mean,treasury_runway_estimate_std,treasury_runway_estimate_min,treasury_runway_estimate_max,total_claims_issued_mean,total_claims_issued_std,total_claims_issued_min,total_claims_issued_max,total_claims_vesting_mean,total_claims_vesting_std,total_claims_vesting_min,total_claims_vesting_max,total_claims_available_mean,total_claims_available_std,total_claims_available_min,total_claims_available_max,total_claims_queued_mean,total_claims_queued_std,total_claims_queued_min,total_claims_queued_max,total_claims_settled_mean,total_claims_settled_std,total_claims_settled_min,total_claims_settled_max,settlement_requested_epoch_mean,settlement_requested_epoch_std,settlement_requested_epoch_min,settlement_requested_epoch_max,settlement_executed_epoch_mean,settlement_executed_epoch_std,settlement_executed_epoch_min,settlement_executed_epoch_max,settlement_queue_mean,settlement_queue_std,settlement_queue_min,settlement_queue_max,settlement_pressure_ratio_mean,settlement_pressure_ratio_std,settlement_pressure_ratio_min,settlement_pressure_ratio_max,utility_spend_epoch_mean,utility_spend_epoch_std,utility_spend_epoch_min,utility_spend_epoch_max,treasury_fees_epoch_mean,treasury_fees_epoch_std,treasury_fees_epoch_min,treasury_fees_epoch_max,provider_payments_epoch_mean,provider_payments_epoch_std,provider_payments_epoch_min,provider_payments_epoch_max,tokens_burned_epoch_mean,tokens_burned_epoch_std,tokens_burned_epoch_min,tokens_burned_epoch_max,cumulative_tokens_burned_mean,cumulative_tokens_burned_std,cumulative_tokens_burned_min,cumulative_tokens_burned_max,ecosystem_inflow_epoch_mean,ecosystem_inflow_epoch_std,ecosystem_inflow_epoch_min,ecosystem_inflow_epoch_max,throttle_multiplier_mean,throttle_multiplier_std,throttle_multiplier_min,throttle_multiplier_max,throttle_active_mean,throttle_active_std,throttle_active_min,throttle_active_max,reserve_floor_breach_mean,reserve_floor_breach_std,reserve_floor_breach_min,reserve_floor_breach_max,run_id,scenario_id,config_hash,seed
10,10.0,,10,10,4999324.621595675,,4999324.621595675,4999324.621595675,0.999864924319135,,0.999864924319135,0.999864924319135,2750117.9602956222,,2750117.9602956222,2750117.9602956222,9999.0,,9999.0,9999.0,18173.07692307693,,18173.07692307693,18173.07692307693,5451.923076923078,,5451.923076923078,5451.923076923078,6270.54826521184,,6270.54826521184,6270.54826521184,0.0,,0.0,0.0,6450.605580942009,,6450.605580942009,6450.605580942009,0.0,,0,0,139.9129929592586,,139.9129929592586,139.9129929592586,0.0,,0.0,0.0,0.0,,0.0,0.0,132.06870077756906,,132.06870077756906,132.06870077756906,26.413740155513814,,26.413740155513814,26.413740155513814,99.05152558317678,,99.05152558317678,99.05152558317678,6.6034350388784535,,6.6034350388784535,6.6034350388784535,29.490073905384836,,29.490073905384836,29.490073905384836,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
11,11.0,,11,11,4999176.592095423,,4999176.592095423,4999176.592095423,0.9998353184190845,,0.9998353184190845,0.9998353184190845,2775146.280400922,,2775146.280400922,2775146.280400922,9999.0,,9999.0,9999.0,19990.384615384617,,19990.384615384617,19990.384615384617,5451.923076923078,,5451.923076923078,5451.923076923078,6674.011638007438,,6674.011638007438,6674.011638007438,0.0,,0.0,0.0,7864.449900454102,,7864.449900454102,7864.449900454102,0.0,,0,0,148.0295002529163,,148.0295002529163,148.0295002529163,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,141.60052649615034,,141.60052649615034,141.60052649615034,28.32010529923007,,28.32010529923007,28.32010529923007,106.20039487211277,,106.20039487211277,106.20039487211277,7.080026324807518,,7.080026324807518,7.080026324807518,36.57010023019235,,36.57010023019235,36.57010023019235,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
12,12.0,,12,12,4999021.830339914,,4999021.830339914,4999021.830339914,0.9998043660679828,,0.9998043660679828,0.9998043660679828,2800176.1789609324,,2800176.1789609324,2800176.1789609324,9999.0,,9999.0,9999.0,21807.692307692305,,21807.692307692305,21807.692307692305,5451.923076923078,,5451.923076923078,5451.923076923078,7013.174578561468,,7013.174578561468,7013.174578561468,0.0,,0.0,0.0,9342.594652207765,,9342.594652207765,9342.594652207765,0.0,,0,0,154.76175550860845,,154.76175550860845,154.76175550860845,2.842170943040401e-14,,2.842170943040401e-14,2.842170943040401e-14,5.684341886080802e-19,,5.684341886080802e-19,5.684341886080802e-19,149.4928000508795,,149.4928000508795,149.4928000508795,29.8985600101759,,29.8985600101759,29.8985600101759,112.11960003815962,,112.11960003815962,112.11960003815962,7.474640002543975,,7.474640002543975,7.474640002543975,44.04474023273632,,44.04474023273632,44.04474023273632,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
13,13.0,,13,13,4998861.463414532,,4998861.463414532,4998861.463414532,0.9997722926829065,,0.9997722926829065,0.9997722926829065,2825207.386056667,,2825207.386056667,2825207.386056667,9999.0,,9999.0,9999.0,23624.999999999993,,23624.999999999993,23624.999999999993,5451.923076923078,,5451.923076923078,5451.923076923078,7298.801990244088,,7298.801990244088,7298.801990244088,0.0,,0.0,0.0,10874.274932832837,,10874.274932832837,10874.274932832837,0.0,,0,0,160.36692538144507,,160.36692538144507,160.36692538144507,2.842170943040401e-14,,2.842170943040401e-14,2.842170943040401e-14,5.684341886080802e-19,,5.684341886080802e-19,5.684341886080802e-19,156.0354786747302,,156.0354786747302,156.0354786747302,31.207095734946044,,31.207095734946044,31.207095734946044,117.02660900604765,,117.02660900604765,117.02660900604765,7.801773933736511,,7.801773933736511,7.801773933736511,51.84651416647284,,51.84651416647284,51.84651416647284,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
14,14.0,,14,14,4998696.414545675,,4998696.414545675,4998696.414545675,0.9997392829091349,,0.9997392829091349,0.9997392829091349,2850239.680072482,,2850239.680072482,2850239.680072482,9999.0,,9999.0,9999.0,25442.30769230768,,25442.30769230768,25442.30769230768,5451.923076923078,,5451.923076923078,5451.923076923078,7539.711699200442,,7539.711699200442,7539.711699200442,0.0,,0.0,0.0,12450.672916184176,,12450.672916184176,12450.672916184176,0.0,,0,0,165.0488688568852,,165.0488688568852,165.0488688568852,2.842170943040401e-14,,2.842170943040401e-14,2.842170943040401e-14,5.684341886080802e-19,,5.684341886080802e-19,5.684341886080802e-19,161.47007907540052,,161.47007907540052,161.47007907540052,32.29401581508011,,32.29401581508011,32.29401581508011,121.1025593065504,,121.1025593065504,121.1025593065504,8.073503953770027,,8.073503953770027,8.073503953770027,59.920018120242865,,59.920018120242865,59.920018120242865,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
15,15.0,,15,15,4998527.444023969,,4998527.444023969,4998527.444023969,0.9997054888047937,,0.9997054888047937,0.9997054888047937,2875272.879080855,,2875272.879080855,2875272.879080855,9999.0,,9999.0,9999.0,27259.61538461537,,27259.61538461537,27259.61538461537,5451.923076923078,,5451.923076923078,5451.923076923078,7743.165315990086,,7743.165315990086,7743.165315990086,0.0,,0.0,0.0,14064.526991702223,,14064.526991702223,14064.526991702223,0.0,,0,0,168.97052170673965,,168.97052170673965,168.97052170673965,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,165.99504186435394,,165.99504186435394,165.99504186435394,33.19900837287079,,33.19900837287079,33.19900837287079,124.49628139826545,,124.49628139826545,124.49628139826545,8.299752093217698,,8.299752093217698,8.299752093217698,68.21977021346056,,68.21977021346056,68.21977021346056,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
16,16.0,,16,16,4998355.1809093105,,4998355.1809093105,4998355.1809093105,0.999671036181862,,0.999671036181862,0.999671036181862,2900306.833526989,,2900306.833526989,2900306.833526989,9999.0,,9999.0,9999.0,29076.923076923056,,29076.923076923056,29076.923076923056,5451.923076923078,,5451.923076923078,5451.923076923078,7915.171053578846,,7915.171053578846,7915.171053578846,0.0,,0.0,0.0,15709.828946421156,,15709.828946421156,15709.828946421156,0.0,,0,0,172.26311465907224,,172.26311465907224,172.26311465907224,-1.4210854715202004e-14,,-1.4210854715202004e-14,-1.4210854715202004e-14,-2.842170943040401e-19,,-2.842170943040401e-19,-2.842170943040401e-19,169.77223067224944,,169.77223067224944,169.77223067224944,33.95444613444989,,33.95444613444989,33.95444613444989,127.32917300418708,,127.32917300418708,127.32917300418708,8.488611533612472,,8.488611533612472,8.488611533612472,76.70838174707303,,76.70838174707303,76.70838174707303,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
17,17.0,,17,17,4998180.1478184685,,4998180.1478184685,4998180.1478184685,0.9996360295636937,,0.9996360295636937,0.9996360295636937,2925341.4201791086,,2925341.4201791086,2925341.4201791086,9999.0,,9999.0,9999.0,30894.230769230744,,30894.230769230744,30894.230769230744,5451.923076923078,,5451.923076923078,5451.923076923078,8060.7204761469675,,8060.7204761469675,8060.7204761469675,0.0,,0.0,0.0,17381.58721616073,,17381.58721616073,17381.58721616073,0.0,,0,0,175.03309084173316,,175.03309084173316,175.03309084173316,-2.842170943040401e-14,,-2.842170943040401e-14,-2.842170943040401e-14,-5.684341886080802e-19,,-5.684341886080802e-19,-5.684341886080802e-19,172.93326059931866,,172.93326059931866,172.93326059931866,34.586652119863736,,34.586652119863736,34.586652119863736,129.699945449489,,129.699945449489,129.699945449489,8.646663029965934,,8.646663029965934,8.646663029965934,85.35504477703896,,85.35504477703896,85.35504477703896,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
18,18.0,,18,18,4998002.780476936,,4998002.780476936,4998002.780476936,0.9996005560953872,,0.9996005560953872,0.9996005560953872,2950376.537201548,,2950376.537201548,2950376.537201548,9999.0,,9999.0,9999.0,32711.538461538432,,32711.538461538432,32711.538461538432,5451.923076923078,,5451.923076923078,5451.923076923078,8183.975240733778,,8183.975240733778,8183.975240733778,0.0,,0.0,0.0,19075.64014388161,,19075.64014388161,19075.64014388161,0.0,,0,0,177.36734153237632,,177.36734153237632,177.36734153237632,-5.684341886080802e-14,,-5.684341886080802e-14,-5.684341886080802e-14,-1.1368683772161604e-18,,-1.1368683772161604e-18,-1.1368683772161604e-18,175.58511219472547,,175.58511219472547,175.58511219472547,35.1170224389451,,35.1170224389451,35.1170224389451,131.68883414604412,,131.68883414604412,131.68883414604412,8.779255609736275,,8.779255609736275,8.779255609736275,94.13430038677522,,94.13430038677522,94.13430038677522,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
19,19.0,,19,19,4997823.443272352,,4997823.443272352,4997823.443272352,0.9995646886544705,,0.9995646886544705,0.9995646886544705,2975412.1001758897,,2975412.1001758897,2975412.1001758897,9999.0,,9999.0,9999.0,34528.84615384612,,34528.84615384612,34528.84615384612,5451.923076923078,,5451.923076923078,5451.923076923078,8288.415649518956,,8288.415649518956,8288.415649518956,0.0,,0.0,0.0,20788.507427404125,,20788.507427404125,20788.507427404125,0.0,,0,0,179.3372045848074,,179.3372045848074,179.3372045848074,-5.684341886080802e-14,,-5.684341886080802e-14,-5.684341886080802e-14,-1.1368683772161604e-18,,-1.1368683772161604e-18,-1.1368683772161604e-18,177.8148717084577,,177.8148717084577,177.8148717084577,35.56297434169154,,35.56297434169154,35.56297434169154,133.36115378134326,,133.36115378134326,133.36115378134326,8.890743585422886,,8.890743585422886,8.890743585422886,103.0250439721981,,103.0250439721981,103.0250439721981,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
