epoch,audience_reserve,reserve_ratio,treasury,treasury_runway_estimate,total_claims_issued,total_claims_vesting,total_claims_available,total_claims_queued,total_claims_settled,settlement_requested_epoch,settlement_executed_epoch,settlement_queue,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,tokens_burned_epoch,cumulative_tokens_burned,ecosystem_inflow_epoch,throttle_multiplier,throttle_active,reserve_floor_breach,repetition_run,iteration_time,run_id,scenario_id,config_hash,seed
12,4999021.830339914,0.9998043660679828,2800176.1789609324,9999.0,21807.692307692305,5451.923076923078,7013.174578561468,0.0,9342.594652207765,0,154.76175550860845,2.842170943040401e-14,5.684341886080802e-19,149.4928000508795,29.8985600101759,112.11960003815962,7.474640002543975,44.04474023273632,25000.0,1.0,0,0,0,12,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
13,4998861.463414532,0.9997722926829065,2825207.386056667,9999.0,23624.999999999993,5451.923076923078,7298.801990244088,0.0,10874.274932832837,0,160.36692538144507,2.842170943040401e-14,5.684341886080802e-19,156.0354786747302,31.207095734946044,117.02660900604765,7.801773933736511,51.84651416647284,25000.0,1.0,0,0,0,13,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
14,4998696.414545675,0.9997392829091349,2850239.680072482,9999.0,25442.30769230768,5451.923076923078,7539.711699200442,0.0,12450.672916184176,0,165.0488688568852,2.842170943040401e-14,5.684341886080802e-19,161.47007907540052,32.29401581508011,121.1025593065504,8.073503953770027,59.920018120242865,25000.0,1.0,0,0,0,14,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
15,4998527.444023969,0.9997054888047937,2875272.879080855,9999.0,27259.61538461537,5451.923076923078,7743.165315990086,0.0,14064.526991702223,0,168.97052170673965,1.4210854715202004e-14,2.842170943040401e-19,165.99504186435394,33.19900837287079,124.49628139826545,8.299752093217698,68.21977021346056,25000.0,1.0,0,0,0,15,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
16,4998355.1809093105,0.999671036181862,2900306.833526989,9999.0,29076.923076923056,5451.923076923078,7915.171053578846,0.0,15709.828946421156,0,172.26311465907224,-1.4210854715202004e-14,-2.842170943040401e-19,169.77223067224944,33.95444613444989,127.32917300418708,8.488611533612472,76.70838174707303,25000.0,1.0,0,0,0,16,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
17,4998180.1478184685,0.9996360295636937,2925341.4201791086,9999.0,30894.230769230744,5451.923076923078,8060.7204761469675,0.0,17381.58721616073,0,175.03309084173316,-2.842170943040401e-14,-5.684341886080802e-19,172.93326059931866,34.586652119863736,129.699945449489,8.646663029965934,85.35504477703896,25000.0,1.0,0,0,0,17,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
18,4998002.780476936,0.9996005560953872,2950376.537201548,9999.0,32711.538461538432,5451.923076923078,8183.975240733778,0.0,19075.64014388161,0,177.36734153237632,-5.684341886080802e-14,-1.1368683772161604e-18,175.58511219472547,35.1170224389451,131.68883414604412,8.779255609736275,94.13430038677522,25000.0,1.0,0,0,0,18,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
19,4997823.443272352,0.9995646886544705,2975412.1001758897,9999.0,34528.84615384612,5451.923076923078,8288.415649518956,0.0,20788.507427404125,0,179.3372045848074,-5.684341886080802e-14,-1.1368683772161604e-18,177.8148717084577,35.56297434169154,133.36115378134326,8.890743585422886,103.0250439721981,25000.0,1.0,0,0,0,19,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
20,4997642.441726464,0.9995284883452927,3000448.03890006,9999.0,36346.153846153815,5451.923076923078,8376.959770784566,0.0,22517.27099844621,0,181.00154588810602,-2.842170943040401e-14,-5.684341886080802e-19,179.69362085278718,35.938724170557435,134.7702156395904,8.984681042639359,112.00972501483746,25000.0,1.0,0,0,0,20,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
21,4997460.032570521,0.9994920065141043,3025484.2948151072,9999.0,38163.46153846151,5451.923076923078,8452.059669952389,0.0,24259.47879158608,0,182.40915594174464,-5.684341886080802e-14,-1.1368683772161604e-18,181.27957523476246,36.255915046952495,135.95968142607182,9.063978761738124,121.07370377657557,25000.0,1.0,0,0,0,21,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
22,4997276.431939909,0.9994552863879819,3050520.8189336,9999.0,39980.769230769205,5451.923076923078,8515.779677334449,0.0,26013.06647651171,0,183.60063061171363,-8.526512829121202e-14,-1.7053025658242405e-18,182.62059246496904,36.52411849299381,136.96544434872678,9.131029623248452,130.20473339982402,25000.0,1.0,0,0,0,22,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
23,4997091.822079918,0.9994183644159836,3075557.57016704,9999.0,41798.0769230769,5451.923076923078,8569.860435640523,0.0,27776.293410513328,0,184.60985998996932,-8.526512829121202e-14,-1.7053025658242405e-18,183.75616720123844,36.75123344024769,137.81712540092883,9.187808360061922,139.39254175988594,25000.0,1.0,0,0,0,23,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
24,4996906.356863104,0.9993812713726208,3100594.5139702614,9999.0,43615.384615384595,5451.923076923078,8615.771596774164,0.0,29547.689941687375,0,185.4652168139232,-1.1368683772161603e-13,-2.2737367544323208e-18,184.7190161082214,36.94380322164429,138.53926208116604,9.235950805411072,148.62849256529702,25000.0,1.0,0,0,0,24,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
25,4996720.166350655,0.9993440332701311,3125631.6212379667,9999.0,45432.69230769229,5451.923076923078,8654.755387952855,0.0,31326.013842816377,0,186.19051244820645,-1.1368683772161603e-13,-2.2737367544323208e-18,185.53633852448445,37.1072677048969,139.15225389336337,9.276816926224225,157.90530949152122,25000.0,1.0,0,0,0,25,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
26,4996533.360579256,0.9993066721158512,3150668.867402388,9999.0,47249.999999999985,5451.923076923078,8687.862780365556,0.0,33110.21414271137,0,186.8057713990055,-1.1368683772161603e-13,-2.2737367544323208e-18,186.2308221067965,37.2461644213593,139.67311658009737,9.311541105339826,167.21685059686106,25000.0,1.0,0,0,0,26,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
27,4996346.032716365,0.9992692065432729,3175706.231692051,9999.0,49067.30769230768,5451.923076923078,8715.983625574108,0.0,34899.40098981051,0,187.32786289128,-1.1368683772161603e-13,-2.2737367544323208e-18,186.82144831486033,37.36428966297207,140.11608623614524,9.341072415743017,176.55792301260408,25000.0,1.0,0,0,0,27,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
28,4996158.26169747,0.9992316523394941,3200743.6965201884,9999.0,50884.615384615376,5451.923076923078,8739.871844201944,0.0,36692.82046349037,0,187.7710188942809,-1.1368683772161603e-13,-2.2737367544323208e-18,187.32414068508265,37.464828137016525,140.49310551381197,9.366207034254131,185.9241300468582,25000.0,1.0,0,0,0,28,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
29,4995970.1144362595,0.9991940228872519,3225781.246978048,9999.0,52701.92307692307,5451.923076923078,8760.166535456106,0.0,38489.833464543895,0,188.14726121030455,-1.1368683772161603e-13,-2.2737367544323208e-18,187.75228929660892,37.55045785932178,140.81421697245668,9.387614464830445,195.31174451168863,25000.0,1.0,0,0,0,29,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
30,4995781.64768107,0.9991563295362139,3250818.8704135153,9999.0,54519.230769230766,5451.923076923078,8777.409708276575,0.0,40289.89798403112,0,188.46675519031245,-1.1368683772161603e-13,-2.2737367544323208e-18,188.11717733688326,37.62343546737666,141.08788300266247,9.405858866844165,204.7176033785328,25000.0,1.0,0,0,0,30,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
