epoch,price_p05,price_p50,price_p95,ar_p05,ar_p50,ar_p95,sr_p05,sr_p50,sr_p95
0,0.1,0.1,0.1,5000000.0,5000000.0,5000000.0,0.1047,0.1047,0.1047
1,0.10247087057512241,0.10248311040378802,0.1024966759722565,5583333.333333333,5583333.333333333,5583333.333333333,0.0830291741185006,0.08304494469531455,0.08305921883564232
2,0.10227849902087213,0.10229070441443158,0.10230423181560817,5625000.0,5625000.0,5625000.0,0.08300782496757918,0.08302981100974946,0.08304797989999481
3,0.10204775012768875,0.10205991425916366,0.10207339592615242,5666666.666666667,5666666.666666667,5666666.666666667,0.08291420103218734,0.08294432640148713,0.08296798424777886
4,0.10177202768690918,0.10178414774652551,0.10179758217690688,5706965.624368148,5706966.045404662,5706966.57434545,0.08283387805361914,0.08286593507102916,0.08289145243546468
5,0.10146039817548144,0.10147246787294309,0.10148586240343402,5745899.661897625,5745900.803439389,5745902.56899378,0.082750105545094,0.0827869117731447,0.08280939390321784
6,0.10111763524855297,0.1011296529556143,0.10114301126281844,6283433.559276628,6283435.940734366,6283439.732679829,0.08342346260361162,0.08346307479654777,0.08349165725114592
7,0.1007559674336073,0.10076791005740872,0.10078122590345247,6320114.991878675,6320118.971515864,6320125.008571518,0.08328187991778833,0.08332036183134,0.08335007217478936
8,0.10039312047736122,0.10040499690170142,0.1004182353918956,6356913.866963288,6356919.753937161,6356927.588550277,0.08313835747711909,0.08318142789383158,0.08321501760185931
9,0.10003757294267047,0.10004938881781572,0.10006254827364935,6394280.751519433,6394288.77782215,6394298.679445195,0.0830099173141062,0.0830450543183085,0.08308410426496954
10,0.10506485439176902,0.10511246841173402,0.10515413595530823,6432214.666884828,6432224.241015829,6432235.062713641,0.08288169086334504,0.08291689815022484,0.0829560776095906
11,0.10469161959898377,0.10473900278382711,0.10478046007691676,6470335.732300532,6470346.617749105,6470358.624185319,0.08287390464267826,0.08291441793444565,0.08295310059323903
12,0.10432175796854459,0.10436890897288092,0.10441015603390946,6508648.395065417,6508660.18680709,6508674.002401142,0.0827494939863173,0.08278968642304665,0.08283227712645466
13,0.10395516677963539,0.10400207015823248,0.1040431090683382,7047121.629883694,7047137.400175119,7047152.49431305,0.08331624689604221,0.08338349710025426,0.08342578460283553
14,0.1035920017971423,0.10363868557051326,0.10367950815643488,7085760.527240928,7085774.933589657,7085790.282274594,0.08321205654042832,0.08325818542727834,0.08330618967542858
15,0.10322988734429299,0.10327635472074664,0.10331696026146593,7124401.167789439,7124416.470547453,7124432.421263589,0.0830947434375656,0.08313461050061104,0.08318380848107715
16,0.1028690040329418,0.10291525636075564,0.10295563858714049,7163046.1873329375,7163062.521258204,7163080.021203979,0.0829745965851066,0.08301616772574032,0.08306338718600159
17,0.10249825641541785,0.1025442911815704,0.10258445353907615,7201017.376819719,7201034.807181183,7201053.535489935,0.08286003580080614,0.08290216410063246,0.08294507370951722
18,0.10211901982525651,0.10216482965956282,0.1022047733066476,7238379.927590349,7238399.065711059,7238419.628609184,0.08275233220874346,0.08279018425080231,0.08283647869579758
19,0.10172929716196698,0.10177437450813534,0.1018140953293002,7275006.190634546,7774987.973972311,7775011.289171139,0.08272069208328732,0.08331690753080073,0.08335384197713494
20,0.10133126725604925,0.1013760506685793,0.10141554223259702,7810960.679316409,7810980.650910558,7811004.816288662,0.0831644364587246,0.0832061149684096,0.08325018194710658
21,0.10093545364365498,0.10097994884607259,0.10101920557035417,7846954.542286474,7846975.707273366,7847001.809553582,0.08305005170345953,0.08309192548905525,0.0831336911912886
22,0.10055488273521797,0.10059914392139305,0.10063816992205975,7883765.292076999,7883787.823600503,7883815.606754436,0.08293704979898417,0.08298264745079265,0.08302571223817012
23,0.10018935923321863,0.10023339795776143,0.10027220115666746,7921389.891378392,7921413.812574463,7921443.807190948,0.08282824714619742,0.08287700670040127,0.08292659859936627
24,0.11075480737389397,0.11086508748286802,0.11094107387095434,7959827.829570226,7959852.308443554,7959885.271886364,0.08274062313353714,0.08277364946371471,0.08282372833663124
25,0.11036204660839202,0.11047178522836648,0.11054737986546763,7999069.774166369,7999094.4778924715,7999128.937780399,0.08283284682728692,0.08286702080233732,0.08291842575047743
26,0.109971344663924,0.11008054111307813,0.11015574464993982,8038314.545106345,8038340.173446147,8038375.8531892,0.08273179352761924,0.08276841088304332,0.08281910396930056
27,0.10958269648544308,0.10969104414051267,0.10976585939963693,8077580.735773682,8577571.021363521,8577599.691741526,0.08272412727314789,0.08324181745640194,0.08328931595945134
28,0.10919579670046423,0.10930361094170239,0.1093780377731647,8616781.766228685,8616808.500241961,8616837.494369728,0.0831060898200802,0.08314791859828541,0.08320095101119304
29,0.10881095914535582,0.10891823452635918,0.10899227545316448,8656018.120693475,8656045.96366344,8656073.344097296,0.08300524321946247,0.08304827099680515,0.08309818197363372
30,0.1084281461117713,0.10853488919054657,0.10860854948326508,8695256.368893372,8695284.256439079,8695313.097576037,0.0829463283482176,0.08299195379134473,0.08304160248493489
