epoch,price,ar,sr,shock_occurred,trial_id
0,0.1,5000000.0,0.1047,False,0
1,0.1024880174057331,5583333.333333333,0.08303923407403162,False,0
2,0.10229559761061308,5625000.0,0.08302514939619328,False,0
3,0.10206479091250419,5666666.666666667,0.08293605334595135,False,0
4,0.10179104512707329,5707090.695289018,0.08284253628774915,False,0
5,0.10148339177035741,5746274.43059476,0.08276437869748213,False,0
6,0.10114662251054042,6284186.134530155,0.08344361625049361,False,0
7,0.10078456692094624,6320855.5461767055,0.08328758366861078,False,0
8,0.10041959325699444,6357533.657338207,0.08314259175275857,False,0
9,0.10005298058267269,6394219.5515138535,0.08301287485032341,False,0
10,0.1051322077223134,6430913.393123919,0.08288041761001275,False,0
11,0.1047341807959865,6467607.197136866,0.08288104422868155,False,0
12,0.10433665626495607,6504308.354438841,0.0827584894115268,False,0
13,0.10393931183593842,7040974.065155936,0.08334926582618034,False,0
14,0.10354318164714355,7077646.73268696,0.08323331892740303,False,0
15,0.10314850039499575,7114326.208610861,0.08311984571278033,False,0
16,0.10275545521828608,7151012.751131871,0.08300206909426923,False,0
17,0.10236417973959179,7187705.942310235,0.0828912581383599,False,0
18,0.10197478651460362,7224406.083826851,0.08277541916753772,False,0
19,0.10158671212300119,7761073.746249648,0.08331673739784806,False,0
20,0.10119254318790934,7797248.6254364345,0.08320890121032083,False,0
21,0.10080056387101856,7833431.661314483,0.08308531497907755,False,0
22,0.10041078905123207,7869621.887427134,0.08297637203054087,False,0
23,0.10003143168738993,7906331.950598886,0.08286902394841439,False,0
24,0.11058139569653802,7943559.840453567,0.08277439276431939,False,0
25,0.11016175291583195,7981295.3636465445,0.08286995464955837,False,0
26,0.10975390235404045,8019547.8339432115,0.08276839684848501,False,0
27,0.10934787436806515,8557780.027541632,0.08325995316963317,False,0
28,0.10894412052867346,8596016.568897976,0.08315455297751602,False,0
29,0.10854262824912896,8634257.097753976,0.08305788631915888,False,0
30,0.10814336199029509,8672500.093568085,0.08299808127416175,False,0
31,0.10774631002593872,8710745.433727188,0.08294124866814094,False,0
32,0.10735147049025212,8748993.625316024,0.0828721230989265,False,0
33,0.10695882284019723,8787244.18967472,0.08281460140526926,False,0
34,0.1065683494520995,8825496.850007532,0.08276378991164025,False,0
35,0.10617966073053323,9363730.073622322,0.0832349830758088,False,0
36,0.10579310994571761,9401964.623840472,0.08320282299430774,False,0
37,0.10540868832976556,9440200.79910617,0.08316342790227498,False,0
38,0.10502637299288317,9478438.09709154,0.0831362104556274,False,0
39,0.10464615174901412,9516676.640113957,0.08310602773939652,False,0
40,0.10426801546894866,9554916.73905315,0.0830683085447986,False,0
41,0.10389194926414803,9593158.374296054,0.08303106481849196,False,0
42,0.1035179405124229,9631401.661443189,0.08299101865533576,False,0
43,0.10314596761306645,9669646.18109492,0.08296113975599993,False,0
44,0.10277549234220128,9707860.458331665,0.08293454586885189,False,0
45,0.10240240870773958,9745796.776826188,0.08289662604759307,False,0
46,0.10203137610222766,9783734.499192365,0.08286542889976085,False,0
47,0.10165017161828338,9820927.882271862,0.08283858494758667,False,0
48,0.10127416010847813,9816642.592930617,0.08280752350232627,False,0
49,0.100903271471722,9812545.08118516,0.08277801505972515,False,0
50,0.1005374426305584,9808635.482265031,0.082742834288488,False,0
51,0.10018825262745369,10305640.78853547,0.08318593693225942,False,0
52,0.11485963914991792,10302647.49643956,0.08314700266419786,False,0
53,0.11443325529581728,10299647.617335998,0.08332997509898157,False,0
54,0.11400926985797091,10296649.15635127,0.08329058290905098,False,0
55,0.11358766129847013,10293651.929028613,0.08325631451826626,False,0
56,0.11316841027656704,10290655.852708004,0.08322434223914017,False,0
57,0.1127514960711849,10287660.7623357,0.08319695478623118,False,0
58,0.1123369100563961,10284667.116945257,0.08315681640119078,False,0
59,0.11192463042507268,10281674.68034976,0.08312323876381708,False,0
60,0.11151463916236806,10278683.404371254,0.08309099940297547,False,0
61,0.11110692438059039,10275693.559022151,0.08305125969730771,False,0
62,0.1107014623323833,10272704.774335004,0.08302179686521118,False,0
63,0.11029824182222882,10269717.342375068,0.08298422110935098,False,0
64,0.10989724444517027,10266731.161511587,0.08294946843003353,False,0
65,0.10949844955727435,10263745.997250114,0.08292122948534579,False,0
66,0.10910184387869772,10260762.006410323,0.08288863443860721,False,0
67,0.10870741442134955,10257779.357226929,0.08285136620533938,False,0
68,0.10831514454502628,10254798.01060069,0.08281518406222936,False,0
69,0.10792502037199948,10251818.072748652,0.08277605144551156,False,0
70,0.1075370226739432,10248839.343662709,0.0827424746095247,False,0
71,0.10715085198001442,10745845.789107466,0.08315429320121441,False,0
72,0.10676677688919452,10742853.26558961,0.08312565327379788,False,0
73,0.10638478367317693,10739861.85537387,0.08309472821495191,False,0
74,0.10600485814751677,10736871.608462453,0.08306241420603898,False,0
75,0.10562698134868499,10733882.292413142,0.08303655692534409,False,0
76,0.1052511454705359,10730894.309048599,0.08299953790397914,False,0
77,0.10487306657701771,10727658.7359607,0.08296341251021604,False,0
78,0.10449704357970284,10724424.414921729,0.08293130869155214,False,0
79,0.10412305978605405,10721191.241400465,0.08290188516054085,False,0
80,0.10375450668959399,10718161.054124432,0.0828769169513858,False,0
81,0.1033913151188719,10715333.828414543,0.08284910505167496,False,0
82,0.10303341886877065,10712709.633007575,0.08281484519024206,False,0
83,0.10268074692557888,10710288.166355535,0.08278518468509186,False,0
84,0.10232989724370319,10707867.529699,0.08275680877046858,False,0
85,0.10198085912623554,10705447.836225377,0.08272456320081377,False,0
86,0.10163341124976694,11203016.321470363,0.08312870957311011,False,0
87,0.10128775215914712,11200585.746341068,0.08309658561698587,False,0
88,0.10094386959627047,11198156.112564135,0.08306440263024281,False,0
89,0.1006017534884456,11195727.550992547,0.08302774603729282,False,0
90,0.10026138914490162,11193299.900569439,0.08299659566177935,False,0
91,0.11335391920989141,11190873.093988104,0.0829677463704255,False,0
92,0.11294686808566062,11188442.108840741,0.08311060332861478,False,0
93,0.11254202327868605,11186011.994056651,0.08308084731926157,False,0
94,0.11213936847291785,11183582.73027392,0.08305175325584364,False,0
95,0.11173889177740787,11181154.52471896,0.0830155745285414,False,0
96,0.11134057356953078,11178727.16931172,0.08298650964920487,False,0
97,0.1109443926166109,11176300.35762179,0.08296792102329635,False,0
98,0.11055034068160201,11173874.469389228,0.082936349831219,False,0
99,0.11015840067305831,11171449.405431837,0.08290816948350979,False,0
100,0.10976855765939916,11169025.174636334,0.08287968531636657,False,0
0,0.1,5000000.0,0.1047,False,1
1,0.10248619076820624,5583333.333333333,0.0830413590624592,False,1
2,0.10229377611233727,5625000.0,0.08303397897280407,False,1
3,0.10206297557236726,5666666.666666667,0.082953469005,False,1
4,0.1017892286647828,5707090.182257738,0.08287673837303944,False,1
5,0.10148157154984357,5746273.18384498,0.08278883598085882,False,1
6,0.10114479143605844,6284183.663058965,0.08347083228182141,False,1
7,0.10078271154028651,6320850.963507932,0.0833227702950105,False,1
8,0.10041772476836414,6357527.633200297,0.08316661623835492,False,1
9,0.10005111284690114,6394212.935333132,0.08302274223053825,False,1
10,0.10511268933452948,6430905.764053727,0.08289729910119426,False,1
11,0.10471475714110791,6467598.636425901,0.082896571574891,False,1
12,0.10431733443946149,6504299.28888882,0.08276690339579273,False,1
13,0.10392007673790088,7040963.611939333,0.08337239360256733,False,1
14,0.10352404140972626,7077635.391671419,0.08324811557635808,False,1
15,0.1031294707706047,7114314.947616622,0.08311851202439771,False,1
16,0.10273653849598144,7151001.748386921,0.08299776493945271,False,1
17,0.1023453945529539,7187696.369397801,0.08286742759645367,False,1
18,0.1019561252417176,7224397.537665535,0.08275830664889877,False,1
19,0.10156817376246847,7761066.211962507,0.08329987282824183,False,1
20,0.10117413385794446,7797242.401237696,0.08318905138602425,False,1
21,0.10078227204345092,7833426.099102893,0.08307528487074906,False,1
22,0.10039261393916508,7869616.996125756,0.082966206724289,False,1
23,0.10001338133585706,7906328.4309238745,0.0828460918461544,False,1
24,0.11059830859376643,7943557.843602766,0.08274599511002441,False,1
25,0.11017859748619212,7981294.87268958,0.0828382098519738,False,1
26,0.10977068033699214,8019548.803769486,0.08273298392146416,False,1
27,0.10936459176006418,8557782.770414075,0.08321697023215152,False,1
28,0.10896077763446202,8596021.083254676,0.08311160790460598,False,1
29,0.10855922887273038,8634263.575774137,0.08301028235645302,False,1
30,0.10815991052554007,8672508.763829349,0.08294493603526873,False,1
31,0.10776280280900322,8710756.077697508,0.08289340117585463,False,1
32,0.10736790300581424,8749005.972816292,0.08283082540322156,False,1
33,0.10697519444848942,8787258.185518747,0.0827746415566408,False,1
34,0.10658466480558376,8825512.739368513,0.08271788647029325,False,1
35,0.1061959165585834,9363747.657493152,0.08319390404915206,False,1
36,0.1058093174093414,9401984.525340011,0.0831466380558971,False,1
37,0.10542483858544423,9440222.494606292,0.08311993697902502,False,1
38,0.10504247862218323,9478462.300512072,0.08307541238510953,False,1
39,0.1046622148756823,9516703.465654623,0.08304246119065761,False,1
40,0.10428404053433814,9554946.438992366,0.08299862615567889,False,1
41,0.103907937966072,9593191.042879695,0.08295909768090054,False,1
42,0.10353389463959758,9631437.39981941,0.08291659944126957,False,1
43,0.10316188526544975,9669684.87172081,0.08288957006712591,False,1
44,0.10279137953031095,9707902.464260202,0.08285490447115121,False,1
45,0.10241826742649711,9745842.281861098,0.08281886812817599,False,1
46,0.10204720558096043,9783783.456436563,0.08278871313780617,False,1
47,0.10166598939561237,9820981.536026374,0.08275161253437716,False,1
48,0.10128996142973934,9816700.619448664,0.08272302565624501,False,1
49,0.10091867089073295,10312583.641034806,0.0831712810880394,False,1
50,0.10055245776132073,10308655.373164695,0.08313794434098645,False,1
51,0.10020323292411919,10305663.38175359,0.08311087253069398,False,1
52,0.11498757890801632,10302672.470892563,0.08308085725079588,False,1
53,0.11456052933868963,10299674.935796846,0.08326486376997083,False,1
54,0.11413587481043952,10296678.398648595,0.08323714300695101,False,1
55,0.11371360530897817,10293683.265608331,0.08319814000738864,False,1
56,0.11329369712726473,10290689.23257763,0.08316758418617391,False,1
57,0.11287613866179418,10287696.61227148,0.08312834183746601,False,1
58,0.11246091259308759,10284705.415868845,0.083088788962056,False,1
59,0.11204800087274903,10281715.607875101,0.08305022204839638,False,1
60,0.11163738305455387,10278727.01628439,0.08301643307533584,False,1
61,0.11122904327591994,10275739.70156328,0.08298096447529774,False,1
62,0.11082295912296013,10272753.365531785,0.08295377865266451,False,1
63,0.11041911790096116,10269768.219655922,0.08292071877401054,False,1
64,0.11001750162745916,10266784.184872523,0.08288985509437644,False,1
65,0.10961809417451038,10263801.273325302,0.08285865408951205,False,1
66,0.1092208797376329,10260819.506975302,0.08282684305549852,False,1
67,0.1088258424779613,10257838.898207523,0.08279468799383335,False,1
68,0.10843296648311176,10254859.44747444,0.08276252036338123,False,1
69,0.10804223867384169,10251881.305127341,0.08272617630832606,False,1
70,0.10765334675855139,10748887.84206556,0.0831517517161607,False,1
71,0.10726657053568348,10745895.434929973,0.08312242043300411,False,1
