final_ar_ratio,min_ar_ratio,final_treasury,min_treasury,max_settlement_queue_z1u,avg_settlement_pressure_ratio,max_settlement_pressure_ratio,total_utility_spend,total_treasury_fees,total_provider_payments,total_burn,total_brand_inflow,throttle_epochs,ar_floor_breach_epochs,classification,scenario
0.001053957224246961,0.001053957224246961,0.0,0.0,3967273.5250253007,33.77447264361904,79.34547050050601,1676137.0869953241,83806.85434976622,1508523.3782957916,83806.85434976622,104000.0,74,74,collapse,shock_low_pressure_low_support_low
0.010527520375761516,0.010527520375761516,0.0,0.0,3355393.6880602017,29.63009432515726,67.10787376120403,2647270.54361247,132363.5271806235,2382543.489251223,132363.5271806236,1040000.0,66,66,collapse,shock_low_pressure_low_support_base
0.6999999999999997,0.5,1295977.5419887092,550000.0,3540627.7070147535,30.174462733074524,70.81255414029506,4939025.365014618,246951.26825073094,4445122.828513156,246951.2682507309,5200000.0,0,0,stressed,shock_low_pressure_low_support_high
0.0010539981737429883,0.0010539981737429883,0.0,0.0,4116200.1480694,37.265619204842366,82.324002961388,1675970.869216348,83798.5434608174,1508373.782294713,83798.54346081738,104000.0,75,75,collapse,shock_low_pressure_base_support_low
0.010527800336729261,0.010527800336729261,0.0,0.0,3459151.0860628206,32.8520449291843,69.18302172125641,2647003.701952786,132350.1850976393,2382303.3317575073,132350.18509763933,1040000.0,68,68,collapse,shock_low_pressure_base_support_base
0.7499999999999989,0.5,1183683.7178912566,550000.0,3863379.8077374166,35.56742210610428,77.26759615474833,5004635.896286698,250231.7948143349,4504172.306658028,250231.79481433486,5200000.0,0,0,stressed,shock_low_pressure_base_support_high
0.001054028920909842,0.001054028920909842,0.0,0.0,7094836.099356024,71.67011830313263,141.89672198712046,1674166.2836059865,83708.31418029933,1506749.655245388,83708.31418029932,104000.0,76,76,collapse,shock_low_pressure_high_support_low
0.010528155540007625,0.010528155540007625,0.0,0.0,6596869.763093586,69.47084987874058,131.93739526187173,2643840.925852276,132192.0462926138,2379456.833267048,132192.04629261387,1040000.0,69,69,collapse,shock_low_pressure_high_support_base
0.9000000000000006,0.5,1001904.093907146,550000.0,8560336.53846159,82.50429918639078,171.2067307692318,5038081.878142748,251904.0939071374,4534273.690328473,251904.09390713746,5200000.0,0,0,stressed,shock_low_pressure_high_support_high
0.00105405172022275,0.00105405172022275,0.0,0.0,9530611.53383489,92.3943939228386,190.61223067669778,1673380.365492756,83669.0182746378,1506042.3289434803,83669.01827463778,104000.0,75,75,collapse,shock_base_pressure_low_support_low
0.010527820319271042,0.010527820319271042,0.0,0.0,9191298.720804488,91.4099730688523,183.82597441608976,2642600.7714368226,132130.03857184114,2378340.6942931404,132130.03857184108,1040000.0,68,68,collapse,shock_base_pressure_low_support_base
0.5999999999999999,0.5,1329521.0138391298,550000.0,11962284.597322768,106.64004644398264,239.24569194645534,5008785.661398032,250439.28306990158,4507907.0952582285,250439.28306990155,5200000.0,0,0,stressed,shock_base_pressure_low_support_high
0.0010538543770061007,0.0010538543770061007,0.0,0.0,9828410.596881254,99.8994626666678,196.56821193762508,1673345.337683627,83667.26688418134,1506010.8039152643,83667.26688418126,104000.0,76,76,collapse,shock_base_pressure_base_support_low
0.010527851742992662,0.010527851742992662,0.0,0.0,9489487.061300224,99.51451486780815,189.78974122600448,2642447.644806578,132122.3822403289,2378202.8803259204,132122.38224032885,1040000.0,69,69,collapse,shock_base_pressure_base_support_base
0.7000000000000008,0.5000000000000001,1201900.827973938,550000.0,12709855.76932106,119.36749953765252,254.1971153864212,5038016.559478755,251900.82797393782,4534214.903530881,251900.82797393762,5200000.0,0,0,stressed,shock_base_pressure_base_support_high
0.0010534963413151967,0.0010534963413151967,0.0,0.0,15876420.54497982,170.3184841203411,317.5284108995964,1672274.4118465383,83613.72059232692,1505046.9706618846,83613.72059232692,104000.0,76,76,collapse,shock_base_pressure_high_support_low
0.01052754105447332,0.010526888047016954,0.0,0.0,15855558.110091759,174.34460532247593,317.11116220183516,2640734.7731013615,132036.7386550681,2376661.2957912255,132036.73865506815,1040000.0,69,69,collapse,shock_base_pressure_high_support_base
0.7000000000000016,0.5000000000000002,1201902.0077609976,550000.0,22170673.076923188,214.53744452662778,443.41346153846376,5038040.155219857,251902.0077609928,4534236.13969787,251902.00776099274,5200000.0,0,0,stressed,shock_base_pressure_high_support_high
0.001054350131688538,0.001054350131688538,0.0,0.0,14283962.550940372,143.46915270589196,285.67925101880746,1668136.5237426497,83406.8261871325,1501322.871368385,83406.82618713254,104000.0,76,76,collapse,shock_high_pressure_low_support_low
0.010526932152248314,0.010526932152248314,0.0,0.0,14217145.085932136,145.8977580315426,284.34290171864274,2638391.1765242214,131919.55882621108,2374552.058871799,131919.55882621108,1040000.0,69,69,collapse,shock_high_pressure_low_support_base
0.6999999999999997,0.5,1211328.4382956522,550000.0,19372729.5447304,175.54673658678306,387.454590894608,5022722.61206692,251136.13060334598,4520450.350860228,251136.1306033458,5200000.0,0,0,stressed,shock_high_pressure_low_support_high
0.001054017025769103,0.001054017025769103,0.0,0.0,14801384.425351715,155.18608873579865,296.02768850703427,1668198.7989608436,83409.93994804217,1501378.9190647588,83409.93994804216,104000.0,76,76,collapse,shock_high_pressure_base_support_low
0.010526895450282228,0.010526895450282228,0.0,0.0,14735002.487348067,158.29534153570597,294.7000497469613,2638369.303137685,131918.46515688428,2374532.372823917,131918.4651568842,1040000.0,69,69,collapse,shock_high_pressure_base_support_base
1.0,0.5000000000000002,901658.3136002992,550000.0,20396634.615497425,193.14476238896617,407.9326923099485,5033166.272006093,251658.31360030465,4529849.6448054835,251658.31360030457,5200000.0,0,0,stressed,shock_high_pressure_base_support_high
0.0010534800321796449,0.0010534159048856625,0.0,0.0,23431481.64315631,255.564940889072,468.6296328631262,1667205.9682885825,83360.29841442913,1500485.3714597244,83360.29841442913,104000.0,76,76,collapse,shock_high_pressure_high_support_low
0.01052673796429836,0.01052673796429836,0.0,0.0,23819399.91059636,264.96210740763286,476.3879982119272,2637921.1627455014,131896.05813727505,2374129.0464709513,131896.05813727507,1040000.0,69,69,collapse,shock_high_pressure_high_support_base
0.6500000000000007,0.5000000000000001,1251661.9128474162,550000.0,33892307.6923078,328.7732063609471,677.846153846156,5033238.256948346,251661.91284741735,4529914.431253511,251661.91284741732,5200000.0,0,0,stressed,shock_high_pressure_high_support_high
