epoch,price,ar,treasury,sr,cip,vrp,staked
0,0.1,5000000.0,2500000.0,0.1047,0.0,0.0,0.0
1,0.0998802876052971,5583333.333333333,2297866.6666666665,0.08304364567691126,0.0,0.0,0.0
2,0.09969515796288736,5625000.0,2449900.0,0.08287129452144315,0.0,0.0,0.0
3,0.09947308696453902,5666666.666666667,2601933.3333333335,0.08265366706407981,0.0,0.0,0.0
4,0.09922708340304011,5708192.3384562805,2753972.0664837575,0.0824115090557249,0.0,0.0,1.000125893623911
5,0.0989612937813324,5749304.815239279,2906029.5010998617,0.08215400734800775,0.0,0.0,5.301080254281224
6,0.09867466284336807,6289623.37530593,2662294.566721829,0.08263722549855734,0.0,0.0,16.53123301077872
7,0.09836414141145128,6328754.878849279,2918629.406737663,0.0822895142021892,0.0,0.0,39.0776702315973
8,0.09803206095593375,6366712.869441347,3175052.6337433066,0.08192783787027803,0.0,0.0,75.00053063993767
9,0.09768266643136374,6403673.699192333,3431572.3930486096,0.08155372330330886,0.0,0.0,124.42463267078594
10,0.09732136967171244,6439916.98605384,3688186.9920291984,0.08117035420848087,0.0,0.0,185.92703179975166
11,0.0969536631386928,6475749.096995455,3944887.22121692,0.08078191395405579,0.0,0.0,257.11108446944854
12,0.09658336455341596,7011383.471976768,3708605.9309851094,0.08110566819847866,0.0,0.0,335.5575119641765
13,0.09621453903979284,7047062.46698852,3972383.6486634295,0.08070278907817004,0.0,0.0,418.57569110967546
14,0.09584900480654418,7082889.764288248,4236207.059243342,0.08030572215274408,0.0,0.0,504.0640466577106
15,0.09548745384097834,7118900.090565652,4500065.581221877,0.07991569186319883,0.0,0.0,590.558655860108
16,0.09512989033894192,7155085.780387964,4763951.458619617,0.07953301304845548,0.0,0.0,676.3580802455142
17,0.09477601501044962,7191420.898087047,5027859.642822678,0.07915745383064242,0.0,0.0,759.1893008427558
18,0.09442484604597458,7727834.317800062,4791788.82766226,0.07943331173319035,0.0,0.0,836.3095975059139
19,0.09407673175283778,7764346.121994659,5055737.587847776,0.07905955070921196,0.0,0.0,904.2385489988752
20,0.09372776639996695,7800684.624978434,5319714.643655675,0.07869188223603696,0.0,0.0,962.9928079642741
21,0.09338155789953642,7837094.276812993,5583717.217488525,0.07832692775102441,0.0,0.0,1011.9174153522031
22,0.09303799213882158,7873566.1789832385,5847743.4416421745,0.07796747129596812,0.0,0.0,1051.8306462474507
23,0.0927060479173664,7910729.571619171,6111769.461476577,0.07761325932945055,0.0,0.0,1080.5680960241127
24,0.09238311956192052,8448410.887065757,5875786.006067722,0.07785789929337492,0.0,0.0,1099.1844112896842
25,0.09206849993603183,8486567.463593058,6139785.117283843,0.07751751860573425,0.0,0.0,1109.0747722781334
